,term,coef,unstemmed
160,insipid,-10.996980624107916,insipid
327,unlisten,-10.443878728668144,unlistenable
35,bland,-9.786085901924908,bland
323,unfortun,-9.674447151629982,Unfortunately
347,wors,-9.534159486465333,worse
316,travistan,-8.122935861980109,Travistan
187,m2,-7.254521491326897,M2
72,decent,-6.930386663678735,decent
252,problem,-6.920166154200273,problem
86,dreck,-6.819589991940491,dreck
121,frat,-6.549006504978169,frat
319,turgid,-6.403540574987364,turgid
64,cosmo,-6.319101440250555,Cosmo
91,duritz,-6.187328045690376,Duritz
22,audioslav,-6.095916049144341,Audioslave
197,mediocr,-6.083906223524734,mediocre
126,generic,-6.07139441049642,generic
232,passabl,-5.718696691191136,passable
346,woodwat,-5.71630075094859,WoodWater
140,halfheart,-5.652782653793563,halfhearted
333,vapid,-5.540060463516925,vapid
246,pointless,-5.509251966010168,pointless
21,attempt,-5.177033860794138,attempt
236,perfunctori,-5.166336176646458,perfunctory
270,ripoff,-5.152800264717782,ripoff
63,cosloy,-5.140791032094637,Cosloy
324,uninspir,-5.038298776421312,uninspired
120,forgett,-5.012530454402893,forgettable
0,07,-4.9491869114442215,07
181,lifeless,-4.948613390576897,lifeless
182,limp,-4.818720914865292,limp
348,worst,-4.742109064376729,worst
195,mc5s,-4.598844930335123,MC5s
243,platitud,-4.498621858405371,platitudes
218,nickelback,-4.456352505311272,Nickelback
107,fail,-4.449571642307279,failed
313,thirdrat,-4.197197105003784,thirdrate
172,lack,-4.0906904465702105,lack
186,lulu,-3.992987127025083,Lulu
13,annoy,-3.911949318226063,annoying
262,reheat,-3.8705428881029276,reheated
166,irrit,-3.640231826333939,irritating
245,plod,-3.6259604835748953,plodding
101,erm,-3.587880262452196,erm
345,wolfi,-3.525360388865745,Wolfie
202,misguid,-3.5005885527998015,misguided
104,excruci,-3.4917577244625106,excruciating
89,dull,-3.4604153130705257,dull
190,markettest,-3.435669585736472,markettested
26,bad,-3.348878187474322,bad
332,valtýsdóttir,-3.3301275109871296,Valtýsdóttir
36,blatant,-3.315289291121271,blatant
309,tepid,-3.2842537214747787,tepid
225,observatori,-3.2785525885320297,Observatory
344,whatsoev,-3.2528872048849813,whatsoever
164,ironist,-3.081720669250122,ironist
338,warlock,-2.9991420856010316,Warlocks
165,irredeem,-2.9349077052533032,irredeemable
3,abysm,-2.877482700393476,abysmal
75,delous,-2.8649842064847926,DeLoused
307,tedious,-2.833989170468008,tedious
27,banal,-2.800828021655643,banal
53,clumsi,-2.72307513420893,clumsy
189,marilyn,-2.71823630653068,Marilyn
131,gradschool,-2.69629692828649,gradschool
222,oakenfold,-2.6868994702988247,Oakenfold
304,suppos,-2.6830977302544765,supposed
62,coor,-2.672901876954561,Coors
210,mumford,-2.6669619939755056,Mumford
69,cringeinduc,-2.656287711341698,cringeinducing
306,tasteless,-2.654025950859179,tasteless
130,grader,-2.6264283649690934,graders
231,overwrought,-2.6134076622405544,overwrought
226,odious,-2.553882813881968,odious
97,embarrass,-2.543045740336767,embarrassing
61,cookiecutt,-2.5050867755807342,cookiecutter
159,inoffens,-2.446543995324541,inoffensive
114,flaccid,-2.4253963994780907,flaccid
317,tri,-2.2666632474591855,trying
310,terribl,-2.2509291604435444,terrible
177,laughabl,-2.2193116852798904,laughable
281,selfsatisfact,-2.173618665470763,selfsatisfaction
214,nadir,-2.17299399704907,nadir
168,jett,-2.1428335109438787,Jett
40,bore,-2.068378970002006,boring
139,halfbak,-2.0475804356369633,halfbaked
269,rice,-2.0325514206953,Rice
223,obes,-2.0299083366752617,obese
253,protool,-2.0245165624275225,ProTools
24,aw,-2.0120204653467813,awful
199,mewl,-1.997956210590508,mewling
277,schlock,-1.980721103105658,schlock
331,vagu,-1.964707555496677,vaguely
254,psa,-1.960736055425936,PSA
201,mild,-1.9598984873804444,mildly
37,bloat,-1.9462571293756092,bloated
143,haughti,-1.9420824408809398,haughty
227,offens,-1.933824795495815,offensive
196,meaningless,-1.9123004120221794,meaningless
330,unremark,-1.9063942599513162,unremarkable
148,horribl,-1.900342740231201,horrible
77,denver,-1.8947638196152017,Denver
8,aimless,-1.8920712737757592,aimless
95,egregi,-1.8388675089266404,egregious
23,avril,-1.8229075393133227,Avril
325,unintent,-1.7944100542602137,unintentionally
275,save,-1.7857330013941597,save
287,shortlist,-1.7776457705176147,shortlist
68,credconsci,-1.76587337997812,credconscious
33,better,-1.7323881014650588,better
237,phair,-1.7270634114221723,Phair
162,intermin,-1.723409718624515,interminable
84,doesnt,-1.6885302352348692,doesnt
133,grate,-1.6505683831837497,grating
135,guess,-1.6456466123569997,guess
244,pleasant,-1.6434734971809597,pleasant
116,flimsi,-1.5462646385061105,flimsy
240,pip,-1.5094553621039097,Pip
42,brainwash,-1.4843002204465028,brainwashing
115,flat,-1.470413361094824,flat
85,drab,-1.4671595268254745,drab
7,aim,-1.433282784638197,aims
109,fare,-1.4087455197637484,fare
328,unmemor,-1.4067509613990703,unmemorable
146,hodgepodg,-1.392560959588897,hodgepodge
205,molko,-1.3697527408162005,Molko
179,lazi,-1.344266379444848,lazy
15,aoki,-1.3367811335672257,Aoki
250,predict,-1.29981671765343,predictable
70,dandi,-1.2958935521542283,Dandy
38,bloopi,-1.291929934952424,bloopy
19,astburi,-1.282475762884148,Astbury
343,weezer,-1.2763174296299378,Weezer
5,accost,-1.2760506196867167,accosted
173,lame,-1.2461607388334643,lame
224,obnoxi,-1.2114179288035436,obnoxious
9,ala,-1.1407120563427542,Alas
176,latest,-1.1248867681948713,latest
193,maxinquay,-1.1112919155992662,Maxinquaye
293,smug,-1.105294672485926,smug
251,pretti,-1.078126180413408,pretty
156,inept,-1.0768214702558774,inept
285,shame,-1.0716460660457656,shame
184,longview,-1.0685764469434884,longview
154,incap,-1.026052359517015,incapable
145,hey,-1.0168377166696043,Hey
110,fault,-1.012006587562718,fault
294,sort,-0.9833669404353541,sort
238,phonedin,-0.980628576479383,phonedin
203,mobi,-0.976611533663627,Moby
191,martina,-0.9108191611077165,Martina
144,heh,-0.9010686819116608,Heh
25,awkward,-0.896268935297895,awkward
66,crap,-0.8918650058600469,crap
78,diction,-0.8696934815766889,diction
108,fair,-0.8619698414083066,fairly
20,athlet,-0.8603595263175842,athletic
301,stultifi,-0.8432555190837786,stultifying
142,hasbeen,-0.8316642712738869,hasbeens
14,anonym,-0.8031780123666042,anonymous
18,artless,-0.7997871532348454,artless
286,shortcom,-0.7959277707167697,shortcomings
158,inexplic,-0.7926518786559057,inexplicably
298,stale,-0.7894727807376978,stale
261,rehash,-0.7815119129501706,rehash
220,nowheresvill,-0.7734565195213253,Nowheresville
212,muster,-0.7590236147832905,muster
248,powerpuff,-0.7582583586301666,Powerpuff
183,littl,-0.707611110717839,little
350,wronghead,-0.6778540823895982,wrongheaded
208,morcheeba,-0.6690453669072873,Morcheeba
16,approv,-0.6675128058957117,approval
247,poor,-0.6541708952130938,poor
122,fun,-0.6484275830720031,fun
209,multiplex,-0.6230679376049139,multiplex
137,guy,-0.6117507440292773,guys
255,quoteunquot,-0.5938387138864241,quoteunquote
241,pitiabl,-0.5836541764487461,pitiable
79,disappoint,-0.5810501266651065,disappointing
65,cosongwrit,-0.5650798672024895,cosongwriter
204,moder,-0.5442094372545881,moderately
138,halfass,-0.5399547394071968,halfassed
249,prattl,-0.5207163255997962,prattle
329,unpleas,-0.46896906178591447,unpleasant
194,mayb,-0.45739299888514134,maybe
259,recycl,-0.41343148390172213,recycled
219,nomin,-0.3968658780788871,nominally
282,sell,-0.38227456752697586,sell
157,inessenti,-0.3815687983335945,inessential
340,watchdog,-0.3591901093451463,watchdogs
171,kinsella,-0.34392758822435515,Kinsella
217,nice,-0.34185706895316553,nice
54,coldplay,-0.30702126579441835,Coldplay
337,volta,-0.2674249338226058,Volta
242,plagu,-0.2451263507249502,plagued
312,thieveri,-0.2404298428306919,Thievery
128,glossi,-0.2332052050117741,glossy
349,worthless,-0.2329766429202317,worthless
6,actual,-0.21895847377777658,actually
341,watereddown,-0.21643238120238587,watereddown
51,cliché,-0.21330931036832132,cliché
88,dude,-0.17935011883998184,dude
291,slogan,-0.176984708068347,sloganeering
200,middleoftheroad,-0.17425353229643117,middleoftheroad
170,kean,-0.16885875422580018,Keane
125,garish,-0.1469593494877927,garish
34,bianca,-0.11209917111172595,Bianca
82,distinguish,-0.10671321344210899,distinguish
297,squash,-0.10664898701928549,squashed
257,realli,-0.07685107928239078,really
90,dumb,-0.07337858579080202,dumb
271,roth,-0.06782142095053133,Roth
123,gall,-0.06704061850298734,gall
276,say,-0.06350446839781054,say
141,hamfist,-0.053908496164465615,hamfisted
119,foolhardi,-0.04785722901517718,foolhardy
274,sap,-0.04715458596340155,sap
150,idiot,-0.04704160727866422,Idiot
206,monkey,-0.006816485300300956,Monkeys
124,gallagh,-0.0027823666551013296,Gallagher
151,imit,-0.0021571520201153086,imitation
10,album,0.0006765041468045522,album
96,element,0.0015437633018949128,elements
339,warm,0.014864610884218523,warm
71,dark,0.016411205738362983,dark
117,flow,0.01769241799788002,flow
260,reflect,0.018446931532277323,reflect
299,stand,0.02224237205218989,stand
149,hous,0.022708791584888425,house
132,gradual,0.051093368563581404,gradually
229,open,0.0551024420123833,opening
216,nervous,0.06479215552077981,nervous
268,rhythmic,0.0693727940335926,rhythmic
188,mani,0.08735426303126058,many
17,articul,0.09474326264791372,articulate
305,talk,0.09870837062141748,talking
92,earli,0.11679184265627214,early
303,sublim,0.12604104882629838,sublime
264,relationship,0.12705372446367613,relationship
98,emerg,0.132716714569647,emerge
57,comput,0.13887738689856416,computer
76,dens,0.13913305202884377,dense
321,twist,0.14338497998009073,twist
198,melod,0.15520567847771685,melodic
318,triumph,0.16150830918827247,triumph
32,begin,0.16820332898801132,begins
163,intric,0.17408050167618153,intricate
233,pavement,0.17622601996148515,Pavement
296,spiritu,0.1824267732377359,spiritual
320,turn,0.1876607437049482,turn
136,guitar,0.19882079158885696,guitar
102,erupt,0.24179193291529394,erupts
59,connect,0.24312271328138227,connection
315,tradit,0.24482786406587267,traditional
80,disc,0.24751475568563827,disc
100,epic,0.26352165045914366,epic
239,piec,0.2847903342047308,piece
67,creat,0.3142622502352502,create
2,abstract,0.3323383772462361,abstract
28,bass,0.35125161180649983,bass
178,layer,0.3528751117033099,layers
48,chime,0.3531022136307448,chimes
60,conscious,0.3570685426914582,conscious
292,smile,0.3584682557129948,smile
280,select,0.37600521296890066,selection
43,breathtak,0.38436705404693006,breathtaking
93,edit,0.39132177635762183,edition
74,deepli,0.40494149698177184,deeply
106,explor,0.42401652116945393,explore
94,effortless,0.42583388294329705,effortlessly
279,segu,0.4307056436869865,segues
81,disori,0.4347514631285363,disorienting
11,amaz,0.44526056563058586,amazing
336,voic,0.45299787781548667,voice
256,raw,0.4772798890122803,raw
314,today,0.48841383547148115,today
180,life,0.49822651605189605,life
12,amplifi,0.5011522978436391,amplified
73,deep,0.501933608327735,deep
284,set,0.5128576357300031,set
41,box,0.5171419062353353,box
278,seamless,0.5248478545206056,seamlessly
234,percuss,0.5430740899762605,percussion
29,beatl,0.564012094949822,Beatles
134,greatest,0.5663868925140062,greatest
295,soul,0.5852312393108978,soul
342,way,0.5976178391267449,way
288,simpl,0.6136525461450246,simple
185,loop,0.6168080910088215,loops
267,rhythm,0.6197118455871661,rhythm
55,complex,0.6274959552644902,complex
52,close,0.6355691663497559,close
87,drum,0.6381635957097589,drums
46,came,0.649247771420182,came
192,master,0.669809566025537,master
311,testament,0.6712300356015755,testament
105,exhilar,0.6792049194997317,exhilarating
147,horn,0.6859108896717955,horns
326,uniqu,0.6926475326336652,unique
83,dizzi,0.7049070856781816,dizzying
272,rumour,0.7049542220868705,Rumours
300,strike,0.7270625829388486,striking
228,omit,0.7479206530759008,omitted
283,sequenc,0.7661168179670538,sequencing
49,clariti,0.7730035519649774,clarity
334,vinyl,0.7764848057390776,vinyl
99,emot,0.7852222700478186,emotional
56,complic,0.8686098253016951,complicated
230,organ,0.88418436372198,organ
118,focus,0.9038798112874501,focus
45,calm,0.9082877174786956,calm
215,narrat,0.9208614607616585,narrative
39,bodi,0.924016922786412,body
111,feedback,0.9297705511779611,feedback
167,jazz,0.9342126644566923,jazz
161,intens,0.9419678137778226,intensity
221,nwa,0.9424453654284244,NWA
31,began,0.9758561280805101,began
174,languag,0.9843660754874978,language
175,later,1.0761804703328754,later
290,sli,1.078489742658138,sly
213,myth,1.0834369282571803,myth
308,tension,1.0884872189885946,tension
207,month,1.1005656494919347,months
289,singular,1.1092322507601022,singular
211,music,1.1165957862900748,music
351,year,1.1402083194213681,years
112,final,1.151819412905776,final
258,record,1.1963379934839287,record
273,sadomasoch,1.2095161983953893,sadomasochism
103,excel,1.2319691668142425,excellent
322,underground,1.3809340396524543,underground
50,classic,1.394843053544955,classic
113,finest,1.4326809341249866,finest
335,vivid,1.4541983487803432,vivid
169,joyous,1.5343961007949636,joyous
302,stun,1.536581675287437,stunning
265,remark,1.6465207702820508,remarkable
127,glorious,1.712866013403071,glorious
1,1973,1.725200142639958,1973
152,immedi,1.9235440936045725,immediately
58,confid,1.9862003782831046,confident
4,access,2.1147519178803624,accessible
153,import,2.2735248835583812,important
155,includ,2.3072655417123116,including
47,captur,2.649037520843186,capture
30,beauti,3.498923090940589,beautiful
235,perfect,3.5401913219741274,perfect
44,brilliant,3.600973556931819,brilliant
129,gorgeous,3.7513255759268462,gorgeous
263,reissu,4.604079262026675,reissue
266,remast,4.976990012046831,remastered
